Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
SOM,2001-01-01,2001-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2001,2001,SLC,77.1102228920,E
SOM,2002-01-01,2002-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2002,2002,SLC,89.2737748497,E
SOM,2003-01-01,2003-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2003,2003,SLC,88.6704023279,E
SOM,2004-01-01,2004-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2004,2004,SLC,96.7875811928,E
SOM,2005-01-01,2005-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2005,2005,SLC,128.3420963570,E
SOM,2006-01-01,2006-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2006,2006,SLC,115.4286341822,E
SOM,2007-01-01,2007-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2007,2007,SLC,117.1374092899,E
SOM,2008-01-01,2008-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2008,2008,SLC,122.5963752013,E
SOM,2009-01-01,2009-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2009,2009,SLC,124.2252857781,E
SOM,2010-01-01,2010-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2010,2010,SLC,104.9695571652,E
SOM,2011-01-01,2011-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2011,2011,SLC,102.4846582728,E
SOM,2012-01-01,2012-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2012,2012,SLC,100.0450024098,E
SOM,2013-01-01,2013-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2013,2013,SLC,102.4579891745,E
SOM,2014-01-01,2014-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2014,2014,SLC,103.5829935307,E
SOM,2015-01-01,2015-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2015,2015,SLC,100.0000000000,E
SOM,2016-01-01,2016-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2016,2016,SLC,99.2657444258,E
SOM,2017-01-01,2017-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2017,2017,SLC,103.8710850403,E
SOM,2018-01-01,2018-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2018,2018,SLC,110.8253896934,E
SOM,2019-01-01,2019-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2019,2019,SLC,109.0029962251,E
SOM,2020-01-01,2020-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2020,2020,SLC,108.7211955277,E
SOM,2021-01-01,2021-12-31,201,'706,Somalia,22025,Gross Fixed Capital Formation Deflator,62250,"Value Standard Local Currency, 2015 prices",2021,2021,SLC,127.2292132545,E
